,Time,Interval between heartbeats (s)
0,2022-07-22 09:53:08,0.703
1,2022-07-22 09:53:08,0.723
2,2022-07-22 09:53:09,0.686
3,2022-07-22 09:53:10,0.691
4,2022-07-22 09:53:10,0.703
5,2022-07-22 09:53:11,0.704
6,2022-07-22 09:53:12,0.73
7,2022-07-22 09:53:13,0.742
8,2022-07-22 09:53:13,0.724
9,2022-07-22 09:53:14,0.739
10,2022-07-22 09:53:15,0.767
11,2022-07-22 09:53:16,0.783
12,2022-07-22 09:53:16,0.811
13,2022-07-22 09:53:17,0.814
14,2022-07-22 09:53:18,0.762
15,2022-07-22 09:53:19,0.783
16,2022-07-22 09:53:19,0.781
17,2022-07-22 09:53:20,0.789
18,2022-07-22 09:53:21,0.777
19,2022-07-22 09:53:22,0.752
20,2022-07-22 09:53:23,0.756
21,2022-07-22 09:53:23,0.771
22,2022-07-22 09:53:24,0.8
23,2022-07-22 09:53:25,0.804
24,2022-07-22 09:53:26,0.795
25,2022-07-22 09:53:27,0.83
26,2022-07-22 09:53:27,0.866
27,2022-07-22 09:53:28,0.879
28,2022-07-22 09:53:29,0.811
29,2022-07-22 09:53:30,0.811
30,2022-07-22 09:53:31,0.807
31,2022-07-22 09:53:31,0.778
32,2022-07-22 09:53:32,0.741
33,2022-07-22 09:53:33,0.729
34,2022-07-22 09:53:41,0.847
35,2022-07-22 09:53:42,0.789
36,2022-07-22 09:53:43,0.845
37,2022-07-22 09:53:43,0.847
38,2022-07-22 09:53:44,0.811
39,2022-07-22 09:53:45,0.807
40,2022-07-22 09:53:46,0.835
41,2022-07-22 09:53:47,0.846
42,2022-07-22 09:53:47,0.84
43,2022-07-22 09:53:48,0.808
44,2022-07-22 09:53:49,0.854
45,2022-07-22 09:53:50,0.87
46,2022-07-22 09:53:51,0.819
47,2022-07-22 09:53:52,0.842
48,2022-07-22 09:53:52,0.8
49,2022-07-22 09:53:53,0.823
50,2022-07-22 09:53:54,0.908
51,2022-07-22 09:53:55,0.928
52,2022-07-22 09:53:56,0.873
53,2022-07-22 09:53:57,0.96
54,2022-07-22 09:53:58,0.963
55,2022-07-22 09:53:59,0.888
56,2022-07-22 09:54:00,0.872
57,2022-07-22 09:54:01,0.903
58,2022-07-22 09:54:01,0.869
59,2022-07-22 09:54:02,0.854
60,2022-07-22 09:54:03,0.912
61,2022-07-22 09:54:04,0.907
62,2022-07-22 09:54:05,0.885
63,2022-07-22 09:54:06,0.843
64,2022-07-22 09:54:14,0.809
65,2022-07-22 09:54:15,0.848
66,2022-07-22 09:54:15,0.846
67,2022-07-22 09:54:16,0.813
68,2022-07-22 09:54:17,0.804
69,2022-07-22 09:54:18,0.814
70,2022-07-22 09:54:19,0.834
71,2022-07-22 09:54:20,0.836
72,2022-07-22 09:54:20,0.813
73,2022-07-22 09:54:21,0.859
74,2022-07-22 09:54:22,0.855
75,2022-07-22 09:54:23,0.786
76,2022-07-22 09:54:24,0.76
77,2022-07-22 09:54:24,0.765
78,2022-07-22 09:54:25,0.788
79,2022-07-22 09:54:26,0.768
80,2022-07-22 09:54:27,0.808
81,2022-07-22 09:54:28,0.84
82,2022-07-22 09:54:28,0.864
83,2022-07-22 09:54:29,0.833
84,2022-07-22 09:54:30,0.879
85,2022-07-22 09:54:31,0.927
86,2022-07-22 09:54:32,0.94
87,2022-07-22 09:54:33,0.946
88,2022-07-22 09:54:34,0.946
89,2022-07-22 09:54:35,0.893
90,2022-07-22 09:54:36,0.838
91,2022-07-22 09:54:37,0.887
92,2022-07-22 09:54:38,0.945
93,2022-07-22 09:54:38,0.909
94,2022-07-22 09:54:39,0.889
95,2022-07-22 09:54:47,0.887
96,2022-07-22 09:54:48,0.945
97,2022-07-22 09:54:49,1.021
98,2022-07-22 09:54:50,1.024
99,2022-07-22 09:54:51,0.984
100,2022-07-22 09:54:52,1.004
101,2022-07-22 09:54:53,1.005
102,2022-07-22 09:54:54,0.952
103,2022-07-22 09:54:54,0.903
104,2022-07-22 09:54:55,0.969
105,2022-07-22 09:54:56,1.031
106,2022-07-22 09:54:57,0.998
107,2022-07-22 09:54:58,0.955
108,2022-07-22 09:54:59,1.037
109,2022-07-22 09:55:01,1.051
110,2022-07-22 09:55:01,0.967
111,2022-07-22 09:55:02,0.99
112,2022-07-22 09:55:04,1.037
113,2022-07-22 09:55:05,1.067
114,2022-07-22 09:55:06,0.975
115,2022-07-22 09:55:06,0.947
116,2022-07-22 09:55:08,1.021
117,2022-07-22 09:55:09,1.062
118,2022-07-22 09:55:10,0.979
119,2022-07-22 09:55:11,0.956
120,2022-07-22 09:55:12,0.998
121,2022-07-22 09:55:12,0.897
122,2022-07-22 09:55:20,0.884
123,2022-07-22 09:55:21,0.962
124,2022-07-22 09:55:22,0.989
125,2022-07-22 09:55:23,0.965
126,2022-07-22 09:55:24,0.919
127,2022-07-22 09:55:25,0.973
128,2022-07-22 09:55:26,1.047
129,2022-07-22 09:55:27,1.036
130,2022-07-22 09:55:28,0.965
131,2022-07-22 09:55:29,1.062
132,2022-07-22 09:55:30,1.062
133,2022-07-22 09:55:31,1.084
134,2022-07-22 09:55:32,0.992
135,2022-07-22 09:55:33,1.024
136,2022-07-22 09:55:34,1.066
137,2022-07-22 09:55:35,1.084
138,2022-07-22 09:55:36,0.979
139,2022-07-22 09:55:37,0.981
140,2022-07-22 09:55:38,1.039
141,2022-07-22 09:55:39,1.025
142,2022-07-22 09:55:40,1.018
143,2022-07-22 09:55:41,1.033
144,2022-07-22 09:55:42,1.021
145,2022-07-22 09:55:43,0.947
146,2022-07-22 09:55:44,0.873
147,2022-07-22 09:55:45,0.908
148,2022-07-22 09:55:53,0.962
149,2022-07-22 09:55:54,0.969
150,2022-07-22 09:55:55,1.013
151,2022-07-22 09:55:56,0.96
152,2022-07-22 09:55:57,0.951
153,2022-07-22 09:55:58,0.865
154,2022-07-22 09:55:59,0.909
155,2022-07-22 09:55:59,0.861
156,2022-07-22 09:56:00,0.914
157,2022-07-22 09:56:02,1.282
158,2022-07-22 09:56:03,1.156
159,2022-07-22 09:56:04,1.179
160,2022-07-22 09:56:05,1.16
161,2022-07-22 09:56:06,1.146
162,2022-07-22 09:56:07,1.142
163,2022-07-22 09:56:08,1.104
164,2022-07-22 09:56:10,1.05
165,2022-07-22 09:56:11,1.024
166,2022-07-22 09:56:12,1.014
167,2022-07-22 09:56:13,1.034
168,2022-07-22 09:56:14,1.016
169,2022-07-22 09:56:15,1.074
170,2022-07-22 09:56:16,1.11
171,2022-07-22 09:56:17,1.113
172,2022-07-22 09:56:18,1.087
173,2022-07-22 09:56:26,0.966
174,2022-07-22 09:56:27,0.973
175,2022-07-22 09:56:28,0.91
176,2022-07-22 09:56:29,0.832
177,2022-07-22 09:56:29,0.881
178,2022-07-22 09:56:30,0.913
179,2022-07-22 09:56:31,1.007
180,2022-07-22 09:56:32,1.08
181,2022-07-22 09:56:34,1.082
182,2022-07-22 09:56:35,1.049
183,2022-07-22 09:56:36,1.002
